divergence at cell 0,divergence at cell 1,divergence at cell 2,divergence at cell 3,divergence at cell 4,divergence at cell 5,divergence at cell 6,divergence at cell 7,divergence at cell 8,pressure correction
-0.051295534,-0.051303595,-0.051311046,-0.051320374,-0.05132459,-0.05131744,-0.05130264,-0.051304847,-0.05131747,-0.023096066
-0.05129002,-0.05128835,-0.05129245,-0.051309824,-0.05131127,-0.05130674,-0.05130434,-0.051311955,-0.0513072,-0.02309007
-0.051075444,-0.051076904,-0.05107425,-0.05120878,-0.051212057,-0.05120921,-0.051269546,-0.05127427,-0.05126694,-0.023045424
-0.051271662,-0.051299334,-0.05130674,-0.0512297,-0.05127552,-0.05129981,-0.051279783,-0.05130984,-0.051324636,-0.023073984
-0.05132033,-0.051309556,-0.051322192,-0.05131793,-0.05131197,-0.051311225,-0.05131291,-0.051312953,-0.051324114,-0.023090385
-0.046586797,-0.048941597,-0.05016209,-0.0465775,-0.04893206,-0.050162345,-0.046595097,-0.04894185,-0.050160915,-0.022019427
-0.048489347,-0.05002615,-0.050730497,-0.048490524,-0.050030738,-0.05073978,-0.048490748,-0.0500281,-0.05072902,-0.022513831
2.9802322e-08,-1.4901161e-08,0.0,-2.9802322e-08,0.0,0.0,2.9802322e-08,-2.9802322e-08,0.0,0.0
-0.04658225,-0.04894446,-0.05016066,-0.046591967,-0.04893951,-0.050162584,-0.046573892,-0.04893233,-0.05016686,-0.02202278
-0.22557184,-0.034060508,-0.042203397,-0.22556047,-0.03405495,-0.042195573,-0.2255723,-0.034065038,-0.042205796,-0.015324727
-0.05125764,-0.051260695,-0.051269546,-0.051286444,-0.051286682,-0.05128859,-0.05130291,-0.05130601,-0.051310778,-0.023079006
-0.045165032,-0.04846166,-0.049994484,-0.045176476,-0.04847814,-0.05001475,-0.04518293,-0.04848911,-0.050027326,-0.021815162
-0.051315546,-0.051316977,-0.051316977,-0.05132462,-0.051324144,-0.05132413,-0.051308632,-0.051309586,-0.051309586,-0.023095865
-0.051268086,-0.051269293,-0.051267654,-0.051297635,-0.051291972,-0.051288113,-0.05131933,-0.051316738,-0.051308855,-0.023081386
-0.051254034,-0.051280722,-0.05129811,-0.051272184,-0.05130288,-0.05131699,-0.05127336,-0.051295966,-0.05131583,-0.023086295
0.0,-0.5895853,-0.033540294,0.0,-0.5895815,-0.033540294,0.0,-0.5895901,-0.03354028,-0.3537489
4.4703484e-08,1.4901161e-08,-1.4901161e-08,-2.9802322e-08,0.0,0.0,-0.022709355,-0.022711739,-0.0227108,0.0
-0.02268523,-0.022697717,-0.02270247,-0.03899792,-0.03902696,-0.039035305,-0.045522198,-0.045561805,-0.04557775,-0.017562132
-0.051307917,-0.051312447,-0.051310077,-0.051309556,-0.051322192,-0.0513189,-0.05131197,-0.051311225,-0.051316753,-0.023094986
1.4901161e-08,1.4901161e-08,-4.4703484e-08,-0.022298068,-0.022543699,-0.02264215,-0.038359195,-0.038761333,-0.03892733,-0.010144664
0.0,-0.58959395,-0.03354022,0.0,-0.5895691,-0.033540294,0.0,-0.5895956,-0.033540443,-0.35374144
-0.11779857,-1.4901161e-08,-0.22557278,-0.11779575,0.0,-0.2255542,-0.11778954,-4.4703484e-08,-0.22558278,0.0
-4.4703484e-08,-0.22557043,-0.03405787,-2.9802322e-08,-0.22555947,-0.034058318,-1.4901161e-08,-0.22557232,-0.034063593,-0.10150176
-0.051307917,-0.051302463,-0.051309317,-0.05130218,-0.05131507,-0.05131626,-0.051317975,-0.051315278,-0.051323175,-0.02309178
-0.046593204,-0.048941612,-0.050155148,-0.046575263,-0.048934475,-0.050167814,-0.04658225,-0.04894446,-0.05016066,-0.022020513
-0.05128695,-0.05130841,-0.051311493,-0.051285744,-0.05129744,-0.05129552,-0.0513103,-0.051318377,-0.051327944,-0.023083847
-0.051324606,-0.11780143,-1.4901161e-08,-0.051309556,-0.11779432,0.0,-0.05131696,-0.1177986,0.0,-0.053007443
-1.4901161e-08,2.9802322e-08,0.0,0.0,-2.9802322e-08,0.0,-1.4901161e-08,4.4703484e-08,0.0,-1.3411045e-08
-0.033365026,-0.04140903,-0.04566428,-0.03377776,-0.041875124,-0.046191454,-0.033945575,-0.04207088,-0.046416983,-0.018843805
-0.051055208,-0.051198915,-0.05126813,-0.051060915,-0.051206827,-0.051267684,-0.051053748,-0.05120018,-0.05126448,-0.023043072
-0.051053748,-0.05120018,-0.05126448,-0.05105877,-0.051203698,-0.051265955,-0.051058263,-0.051194713,-0.05126904,-0.023041664
-0.051309377,-0.05131437,-0.051317915,-0.051318407,-0.051313877,-0.051315516,-0.05131936,-0.05132462,-0.0513227,-0.023091244
-0.05129479,-0.05130841,-0.05131364,-0.05128956,-0.05130312,-0.05131367,-0.051298156,-0.051310316,-0.051300988,-0.023086403
-0.050731942,-0.051052794,-0.051196083,-0.05073619,-0.051055685,-0.051195145,-0.050734982,-0.051057845,-0.051201805,-0.022975057
-0.03899263,-0.039022982,-0.03903216,-0.045523405,-0.04555224,-0.045572042,-0.04860255,-0.048648372,-0.04867409,-0.020498507
-0.051312193,-0.051317483,-0.051323652,-0.051314592,-0.051313654,-0.051313624,-0.051324606,-0.051319823,-0.051325545,-0.023091143
-0.023221985,-0.03819658,-0.04518816,-0.023226231,-0.038206115,-0.045183435,-0.023220554,-0.03820087,-0.04518652,-0.017192751
-0.2253325,-0.033945575,-0.04207088,-0.22546646,-0.034015402,-0.04214406,-0.22552416,-0.034041643,-0.042182475,-0.015306931
0.0,-0.58959055,-0.03354028,0.0,-0.5895815,-0.03354031,0.0,-0.5895858,-0.033540294,-0.3537489
-0.046570078,-0.048949957,-0.050157785,-0.04658054,-0.04894255,-0.050151363,-0.04658392,-0.04893133,-0.05016446,-0.022024147
-0.051317483,-0.051326513,-0.051315337,-0.051311716,-0.051317975,-0.051309556,-0.05131939,-0.051322713,-0.051311746,-0.023093088
-0.050025985,-0.050729007,-0.051051095,-0.050030693,-0.05073215,-0.051053062,-0.05003287,-0.050740257,-0.051058054,-0.022829467
-0.11780809,1.4901161e-08,-0.22557952,-0.11778428,-2.9802322e-08,-0.22556755,-0.11779526,5.9604645e-08,-0.22556572,-1.3411045e-08
